Date,Open,High,Low,Close,Volume,Adj Close
2014-11-07,41.54,41.68,40.80,41.01,5248600,41.01
2014-11-06,41.60,41.76,41.22,41.50,5216400,41.50
2014-11-05,41.72,41.91,41.37,41.75,4513800,41.75
2014-11-04,41.59,41.90,41.45,41.55,5574800,41.55
2014-11-03,41.88,42.33,41.44,41.80,7108900,41.80
2014-10-31,41.18,42.38,41.18,41.88,10280700,41.88
2014-10-30,40.32,40.72,39.73,40.69,5510200,40.69
2014-10-29,40.36,40.77,40.06,40.33,5122200,40.33
2014-10-28,39.99,40.47,39.83,40.42,4335400,40.42
2014-10-27,39.68,40.00,39.43,39.86,3630900,39.86
2014-10-24,39.45,39.92,39.15,39.70,4076500,39.70
2014-10-23,39.71,39.95,39.17,39.37,7438200,39.37
2014-10-22,40.16,40.68,39.35,39.37,13820100,39.37
2014-10-21,36.55,37.40,36.50,37.33,7246600,37.33
2014-10-20,35.75,36.32,35.48,36.30,4023500,36.30
2014-10-17,36.26,36.52,35.68,35.77,7869000,35.77
2014-10-16,34.79,35.67,34.73,35.31,7145000,35.31
2014-10-15,34.92,35.93,34.50,35.46,8310100,35.46
2014-10-14,35.79,36.24,35.19,35.41,6299100,35.41
2014-10-13,35.96,36.32,35.30,35.42,7119600,35.42
2014-10-10,37.77,37.91,35.53,36.05,11558100,36.05
2014-10-09,38.98,39.19,37.94,38.13,5003200,38.13
2014-10-08,38.60,39.23,38.02,39.14,5291500,39.14
2014-10-07,38.67,39.01,38.33,38.34,4948400,38.34
2014-10-06,38.92,39.09,38.43,38.94,4038500,38.94
2014-10-03,39.01,39.15,38.66,38.87,4378300,38.87
2014-10-02,39.27,39.33,37.97,38.84,7761500,38.84
2014-10-01,40.46,40.46,39.19,39.34,6857700,39.34
2014-09-30,40.80,40.90,40.35,40.42,4796300,40.42
2014-09-29,40.37,40.78,40.16,40.65,3680900,40.65
2014-09-26,40.25,40.81,40.16,40.61,4232500,40.61
2014-09-25,40.69,40.84,39.96,40.32,5845400,40.32
2014-09-24,40.09,40.41,39.88,40.18,3738300,40.18
2014-09-23,40.19,40.42,39.88,39.98,5051300,39.98
2014-09-22,40.87,40.87,40.13,40.28,4503800,40.28
2014-09-19,41.57,41.65,40.65,40.89,10507800,40.89
2014-09-18,41.06,41.49,40.83,41.44,5010500,41.44
2014-09-17,40.16,41.10,40.15,40.93,4586800,40.93
2014-09-16,40.27,40.64,39.88,40.43,4643200,40.43
2014-09-15,40.33,40.50,40.11,40.28,4486500,40.28
2014-09-12,40.66,40.69,40.26,40.38,4707600,40.38
2014-09-11,40.53,40.80,40.42,40.71,4252200,40.71
2014-09-10,40.30,40.88,40.20,40.62,6672300,40.62
2014-09-09,40.84,40.85,40.12,40.20,7732600,40.20
2014-09-08,40.76,41.14,40.65,41.04,5985300,41.04
2014-09-05,40.20,40.75,40.10,40.71,4772000,40.71
2014-09-04,39.90,40.40,39.64,40.12,6336600,40.12
2014-09-03,39.49,40.11,39.34,39.94,9529300,39.94
2014-09-02,39.15,39.56,38.80,39.35,6792200,39.35
2014-08-29,39.25,39.50,39.19,39.38,4443200,39.38
2014-08-28,38.43,39.37,38.21,39.20,5196500,39.20
2014-08-27,38.83,38.94,38.40,38.50,4567000,38.50
2014-08-26,38.89,39.17,38.69,38.81,3705500,38.69
2014-08-25,39.25,39.29,38.90,38.97,3214100,38.85
2014-08-22,38.76,39.25,38.76,39.21,2639900,39.09
2014-08-21,38.86,39.28,38.86,39.16,4093300,39.04
2014-08-20,38.45,38.99,38.45,38.91,3660100,38.79
2014-08-19,38.08,38.95,38.08,38.89,4894200,38.77
