Date,YHOO_adj_close,AAPL_adj_close,SPY_adj_close,INTC_adj_close,MSFT_adj_close,WMT_adj_close,QCOM_adj_close,BRCM_adj_close,EBAY_adj_close,FITB_adj_close,SBUX_adj_close,ESLT_adj_close,g_i,total_revenue
2005-01-10,36.32,4.66,97.75,17.24,21.8,43.88,37.21,20.67,53.65,34.98,27.03,19.68,0.0,1.0
2005-01-11,35.66,4.37,97.07,16.98,21.74,43.77,37.29,20.47,52.42,34.71,26.83,19.65,0.006645742471970997,1.006645742471971
2005-01-12,36.14,4.43,97.39,17.45,21.78,44.18,37.19,20.41,53.62,34.39,26.66,19.82,-0.01195769280488508,0.9946085819201457
2005-01-13,35.33,4.72,96.61,17.19,21.36,43.82,36.31,19.96,51.6,33.84,25.88,19.67,0.008412023330984616,1.0029752525164555
2005-01-14,36.7,4.75,97.12,17.34,21.24,44.1,36.4,20.03,52.6,33.83,26.28,19.68,0.012439828404327231,1.015452092551547
2005-01-18,37.18,4.78,98.13,17.28,21.4,44.51,36.76,20.53,53.19,35.85,27.09,19.08,-0.01707575318333857,0.9981124832496321
2005-01-19,36.45,4.73,97.11,17.03,21.13,43.93,35.42,19.97,51.53,35.48,27.0,18.78,-0.027695684087196117,0.9704690752300634
2005-01-20,35.78,4.77,96.52,17.01,21.03,43.6,32.58,20.06,41.67,35.18,26.46,18.64,-0.005674027288324763,0.9649626072147327
2005-01-21,35.3,4.77,95.92,16.89,20.86,43.3,32.6,19.19,43.03,34.97,26.03,18.75,-0.014890890736559687,0.9505934544658323
2005-01-24,33.93,4.79,95.73,16.57,20.88,43.35,31.51,18.9,41.19,35.42,25.2,18.47,0.002043251486976579,0.9525357559551798
2005-01-25,34.04,4.87,96.01,16.77,21.16,43.52,31.62,19.38,40.02,35.15,25.24,18.06,0.01402925980136087,0.9658991275455607
2005-01-26,35.47,4.89,96.29,16.89,21.15,43.52,31.82,20.03,41.16,35.44,25.87,18.26,-0.004640985948666989,0.961416403266792
2005-01-27,34.73,4.91,96.46,16.81,21.23,43.36,31.17,20.37,41.35,35.29,24.79,18.42,-0.004153318545279302,0.9574233346893682
2005-01-28,34.62,5.0,96.46,16.76,21.29,42.83,31.35,19.84,40.55,34.81,25.1,18.2,0.015701203429892056,0.9724560332358516
2005-01-31,35.21,5.2,97.06,16.91,21.37,42.8,32.12,20.03,40.75,35.32,25.24,19.18,-0.0007938621081766408,0.9716840372391978
2005-02-01,34.75,5.24,97.67,17.05,21.46,42.97,31.76,19.98,38.97,35.68,25.41,19.44,0.004138512770425469,0.9757053640361308
2005-02-02,35.54,5.39,97.97,17.01,21.52,43.34,31.38,19.83,39.4,36.02,25.24,19.28,-0.014692634703214127,0.9613696815443814
2005-02-03,35.09,5.26,97.71,16.92,21.29,43.64,31.14,19.22,38.61,35.99,23.17,19.54,0.014367175333955791,0.9751818483198788
2005-02-04,35.02,5.33,98.76,17.39,21.4,43.67,31.87,20.27,37.94,36.55,23.68,19.9,-0.006771964191625173,0.9685779517627336
2005-02-07,34.47,5.34,98.63,17.32,21.27,43.71,31.03,20.26,37.79,36.45,23.84,19.3,0.0076023522376805494,0.975941422521685
