Date,Open,High,Low,Close,Volume,Adj Close
2013-10-08,22.87,22.88,22.48,22.48,36111200,21.59
2013-10-07,22.71,23.00,22.57,22.83,21321300,21.92
2013-10-04,22.60,22.85,22.60,22.81,22550000,21.90
2013-10-03,22.82,22.84,22.50,22.60,34888500,21.70
2013-10-02,22.71,22.90,22.67,22.89,23205400,21.98
2013-10-01,22.94,23.04,22.70,22.83,25888800,21.92
2013-09-30,22.72,23.17,22.60,22.92,32489600,22.01
2013-09-27,23.21,23.39,22.88,22.98,28924100,22.07
2013-09-26,23.75,23.80,23.20,23.41,32003300,22.48
2013-09-25,23.78,23.81,23.58,23.70,19879900,22.76
2013-09-24,23.58,23.85,23.58,23.70,24410100,22.76
2013-09-23,23.70,23.85,23.61,23.62,22437100,22.68
2013-09-20,23.94,23.96,23.57,23.77,47069000,22.83
2013-09-19,23.96,24.09,23.84,23.91,28261400,22.96
2013-09-18,23.85,23.92,23.56,23.90,31975400,22.95
2013-09-17,23.69,23.89,23.67,23.74,37540700,22.80
2013-09-16,23.63,23.71,23.35,23.39,30088500,22.46
2013-09-13,23.05,23.46,23.04,23.44,61134800,22.51
2013-09-12,22.78,22.84,22.60,22.63,29517900,21.73
2013-09-11,22.91,22.98,22.71,22.81,45815300,21.90
2013-09-10,23.07,23.13,22.93,22.98,31705400,22.07
2013-09-09,22.72,23.03,22.70,22.91,27770600,22.00
2013-09-06,22.69,22.82,22.40,22.67,27606600,21.77
2013-09-05,22.68,22.73,22.49,22.60,22552800,21.70
2013-09-04,22.38,22.78,22.28,22.64,37941800,21.74
2013-09-03,22.21,22.24,21.97,22.07,26427300,21.19
2013-08-30,22.24,22.25,21.90,21.98,33896300,21.11
2013-08-29,22.24,22.43,22.05,22.06,28303500,21.18
2013-08-28,22.20,22.41,22.13,22.29,28090000,21.40
2013-08-27,22.12,22.22,22.00,22.19,37638500,21.31
2013-08-26,22.40,22.52,22.23,22.27,22267800,21.39
2013-08-23,22.34,22.57,22.33,22.44,23088700,21.55
2013-08-22,22.26,22.39,22.17,22.26,17380600,21.38
2013-08-21,22.54,22.58,22.06,22.17,32403300,21.29
2013-08-20,22.31,22.68,22.30,22.52,32084300,21.63
2013-08-19,22.08,22.70,22.05,22.28,43412200,21.40
2013-08-16,22.06,22.19,21.89,21.91,30079000,21.04
2013-08-15,22.28,22.41,21.97,22.03,40451200,21.15
2013-08-14,22.40,22.74,22.35,22.57,23202500,21.67
2013-08-13,22.69,22.70,22.39,22.52,26099200,21.63
2013-08-12,22.48,22.70,22.45,22.64,23520400,21.74
2013-08-09,22.41,22.55,22.31,22.51,25145400,21.62
2013-08-08,22.75,22.78,22.41,22.45,34792500,21.56
2013-08-07,22.71,22.79,22.55,22.70,23350900,21.80
2013-08-06,22.88,22.93,22.71,22.80,28843300,21.89
2013-08-05,23.00,23.02,22.85,22.92,20869000,22.01
2013-08-02,23.18,23.22,23.00,23.22,36242100,22.08
2013-08-01,23.41,23.49,23.02,23.20,37832700,22.06
2013-07-31,23.37,23.46,23.26,23.34,27679200,22.20
2013-07-30,23.30,23.50,23.28,23.38,28855200,22.23
2013-07-29,23.17,23.30,23.07,23.24,85543100,22.10
2013-07-26,22.94,23.26,22.90,23.26,110474500,22.12
2013-07-25,22.85,23.06,22.82,23.06,114558100,21.93
2013-07-24,22.93,23.00,22.63,22.93,33432700,21.81
2013-07-23,22.85,22.99,22.64,22.75,28521400,21.63
2013-07-22,23.07,23.12,22.73,22.77,35890900,21.65
2013-07-19,23.11,23.15,22.81,23.04,45866700,21.91
