Date,Open,High,Low,Close,Volume,Adj Close
2014-11-06,78.15,78.18,77.17,77.81,4621400,77.81
2014-11-05,77.87,78.23,77.30,77.70,5672800,77.70
2014-11-04,76.49,77.37,76.28,77.26,6904900,77.26
2014-11-03,76.35,76.38,75.59,76.28,6894400,76.28
2014-10-31,76.89,77.40,76.01,76.27,7560800,76.27
2014-10-30,76.17,76.60,75.98,76.45,4872400,76.45
2014-10-29,76.55,76.64,75.97,76.39,5759700,76.39
2014-10-28,76.63,76.80,76.00,76.35,4979600,76.35
2014-10-27,76.33,76.98,76.31,76.59,4107400,76.59
2014-10-24,76.13,76.50,75.50,76.38,4479600,76.38
2014-10-23,76.37,76.65,75.78,76.25,6356100,76.25
2014-10-22,76.47,76.66,76.01,76.03,5873600,76.03
2014-10-21,75.18,76.20,75.01,76.02,8274700,76.02
2014-10-20,74.14,75.22,73.92,75.14,7040700,75.14
2014-10-17,74.18,74.50,73.03,74.10,11462300,74.10
2014-10-16,73.23,74.07,72.61,73.82,14346600,73.82
2014-10-15,77.58,77.69,74.36,75.20,21057700,75.20
2014-10-14,77.83,78.63,77.67,77.98,7901100,77.98
2014-10-13,78.03,78.58,77.45,77.56,8201200,77.56
2014-10-10,77.93,79.37,77.93,78.29,10078000,78.29
2014-10-09,78.11,78.83,77.66,77.86,7072700,77.86
2014-10-08,77.41,78.49,76.81,78.24,8107100,78.24
2014-10-07,77.03,77.69,76.72,77.30,7059900,77.30
2014-10-06,77.05,77.92,76.99,77.35,5429700,77.35
2014-10-03,76.57,77.48,76.53,77.32,5819700,77.32
2014-10-02,76.21,76.91,75.96,76.23,4921200,76.23
2014-10-01,76.51,76.86,75.91,76.12,6524900,76.12
2014-09-30,76.04,76.72,75.77,76.47,5640700,76.47
2014-09-29,76.06,76.25,75.65,76.08,4959300,76.08
2014-09-26,76.25,76.57,75.86,76.49,3752900,76.49
2014-09-25,76.93,77.05,76.12,76.12,4963500,76.12
2014-09-24,75.73,77.31,75.70,77.08,8434600,77.08
2014-09-23,76.00,76.22,75.57,75.60,6708000,75.60
2014-09-22,76.79,76.86,76.25,76.31,4450700,76.31
2014-09-19,76.45,77.07,76.38,76.84,13323500,76.84
2014-09-18,76.31,76.58,75.91,76.22,4751700,76.22
2014-09-17,76.36,76.47,76.01,76.24,4239000,76.24
2014-09-16,75.64,76.57,75.60,76.32,4109500,76.32
2014-09-15,75.78,75.89,75.61,75.81,3748500,75.81
2014-09-12,75.97,76.05,75.66,75.77,5693800,75.77
2014-09-11,76.35,76.44,76.09,76.10,4953300,76.10
2014-09-10,76.79,77.08,76.37,76.51,6697100,76.51
2014-09-09,76.56,77.00,76.17,76.74,5632000,76.74
2014-09-08,77.13,77.32,76.43,76.53,5938900,76.53
2014-09-05,76.52,77.73,76.48,77.51,7841800,77.51
2014-09-04,76.16,76.60,76.11,76.56,5282300,76.56
2014-09-03,75.95,76.33,75.88,76.01,4709400,76.01
2014-09-02,75.42,75.94,75.41,75.75,4532400,75.75
