Date,Open,High,Low,Close,Volume,Adj Close
2014-10-31,13.84,14.83,13.72,14.03,000,14.03
2014-10-30,15.31,15.75,14.07,14.52,000,14.52
2014-10-29,14.61,16.28,14.19,15.15,000,15.15
2014-10-28,15.69,15.78,14.39,14.39,000,14.39
2014-10-27,17.24,17.87,16.00,16.04,000,16.04
2014-10-24,16.43,18.06,16.09,16.11,000,16.11
2014-10-23,16.07,17.06,15.68,16.53,000,16.53
2014-10-22,16.06,18.43,15.56,17.87,000,17.87
2014-10-21,17.72,17.75,16.03,16.08,000,16.08
2014-10-20,22.11,22.16,18.51,18.57,000,18.57
2014-10-17,21.68,23.08,20.23,21.99,000,21.99
2014-10-16,29.26,29.41,24.61,25.20,000,25.20
2014-10-15,26.36,31.06,24.64,25.27,000,25.27
2014-10-14,23.77,24.55,21.48,22.79,000,22.79
2014-10-13,21.16,24.64,20.52,24.64,000,24.64
2014-10-10,19.11,22.06,18.14,21.24,000,21.24
2014-10-09,15.64,19.38,15.34,18.76,000,18.76
2014-10-08,17.35,18.03,14.97,15.11,000,15.11
2014-10-07,16.18,17.46,15.97,17.20,000,17.20
2014-10-06,14.46,15.77,14.05,15.46,000,15.46
2014-10-03,15.16,15.43,14.44,14.55,000,14.55
2014-10-02,16.70,17.98,15.90,16.16,000,16.16
2014-10-01,16.44,17.56,16.08,16.71,000,16.71
